"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"10001_2028_1","2_1095_20260401","1095_1112242_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1112522_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1113122_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1096_20260401","1096_2110722_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1111734_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1112515_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10001_2028_1","2_1095_20260401","1095_1112232_20260401","岡電高屋",,,,"2_2028_1",,,"2"
"10006_2007_1","2_1096_20260401","1096_2110715_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1095_20260401","1095_1101114_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1095_20260401","1095_1104016_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1096_20260401","1096_2102524_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1095_20260401","1095_1100436_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1096_20260401","1096_2101034_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1095_20260401","1095_1103024_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1095_20260401","1095_1110536_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1095_20260401","1095_1113423_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2007_1","2_1095_20260401","1095_1101035_20260401","岡電高屋",,,,"2_2007_1",,,"2"
"10006_2008_1","2_1095_20260401","1095_1112523_20260401","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1096_20260401","1096_2102525_20260401","岡山駅",,,,"2_2008_1",,,"2"
"10006_2008_1","2_1096_20260401","1096_2113622_20260401","岡山駅",,,,"2_2008_1",,,"2"
"10006_2009_1","2_1096_20260401","1096_2113621_20260401","岡電高屋",,,,"2_2009_1",,,"2"
"10006_2009_1","2_1096_20260401","1096_2110611_20260401","岡電高屋",,,,"2_2009_1",,,"2"
"10006_2010_1","2_1095_20260401","1095_1113434_20260401","岡南営業所",,,,"2_2010_1",,,"2"
"10006_2010_1","2_1096_20260401","1096_2110434_20260401","岡南営業所",,,,"2_2010_1",,,"2"
"10006_2010_1","2_1095_20260401","1095_1100437_20260401","岡南営業所",,,,"2_2010_1",,,"2"
"10100_1011_1","2_1096_20260401","1096_2104114_20260401","岡山駅",,,,"2_1011_1",,,"2"
"10100_1011_1","2_1096_20260401","1096_2100514_20260401","岡山駅",,,,"2_1011_1",,,"2"
"10100_1011_1","2_1095_20260401","1095_1103914_20260401","岡山駅",,,,"2_1011_1",,,"2"
"10100_1012_1","4_1103_20260401","1103_1402834_20260401","岡山駅",,,,"2_1012_1",,,"4"
"10100_1012_1","2_1096_20260401","1096_2102514_20260401","岡山駅",,,,"2_1012_1",,,"2"
"10100_1012_1","2_1096_20260401","1096_2111436_20260401","岡山駅",,,,"2_1012_1",,,"2"
