"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"29006_290812_1","29_918_20251001","918_292022710_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022725_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812210_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812212_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022703_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022714_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_920_20251001","920_290812213_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022709_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022721_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29006_290812_1","29_918_20251001","918_292022704_20251001","倉敷芸科大学",,,,"3_290812_1",,,"29"
"29007_290111_1","29_920_20251001","920_292014903_20251001","ハーバーアイランド３工区",,,,"3_290111_1",,,"29"
"29007_290112_1","29_918_20251001","918_292014894_20251001","ハーバーアイランド３工区",,,,"3_290112_1",,,"29"
"29007_290113_1","29_918_20251001","918_292014846_20251001","新倉敷駅",,,,"3_290113_1",,,"29"
"29007_290113_1","29_918_20251001","918_292014847_20251001","新倉敷駅",,,,"3_290113_1",,,"29"
"29007_290113_1","29_920_20251001","920_292014855_20251001","新倉敷駅",,,,"3_290113_1",,,"29"
"29007_290114_1","29_918_20251001","918_292014848_20251001","新倉敷駅",,,,"3_290114_1",,,"29"
"29007_290871_1","29_920_20251001","920_292014856_20251001","新倉敷駅",,,,"3_290871_1",,,"29"
"29007_290871_1","29_920_20251001","920_292014857_20251001","新倉敷駅",,,,"3_290871_1",,,"29"
"29007_290871_1","29_921_20251001","921_292014861_20251001","新倉敷駅",,,,"3_290871_1",,,"29"
"29007_290871_1","29_918_20251001","918_292014849_20251001","新倉敷駅",,,,"3_290871_1",,,"29"
"29007_290872_1","29_920_20251001","920_292014905_20251001","住友重機械西門",,,,"3_290872_1",,,"29"
"29007_290872_1","29_918_20251001","918_292014895_20251001","住友重機械西門",,,,"3_290872_1",,,"29"
"29007_290872_1","29_920_20251001","920_292014904_20251001","住友重機械西門",,,,"3_290872_1",,,"29"
"29007_290872_1","29_918_20251001","918_292014896_20251001","住友重機械西門",,,,"3_290872_1",,,"29"
"29007_290872_1","29_918_20251001","918_292014897_20251001","住友重機械西門",,,,"3_290872_1",,,"29"
"29007_290872_1","29_921_20251001","921_292014909_20251001","住友重機械西門",,,,"3_290872_1",,,"29"
"29007_290873_1","29_921_20251001","921_292014862_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_918_20251001","918_292014851_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
"29007_290873_1","29_918_20251001","918_292014852_20251001","新倉敷駅",,,,"3_290873_1",,,"29"
